"","...1","Name","Location","Year","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Seats","New_Price","Price"
"18",19,"Mercedes-Benz New C-Class C 220 CDI BE Avantgare","Bangalore",2014,78500,"Diesel","Automatic","First",14.84,2143,167.62,5,11.665,28
"19",20,"BMW 3 Series 320d","Kochi",2014,32982,"Diesel","Automatic","First",22.69,1995,190,5,47.87,18.55
"20",21,"Maruti S Cross DDiS 200 Alpha","Bangalore",2015,55392,"Diesel","Manual","Second",23.65,1248,88.5,5,11.665,8.25
"21",22,"Audi A6 2011-2015 35 TFSI Technology","Mumbai",2015,55985,"Petrol","Automatic","First",13.53,1984,177.01,5,11.665,23.5
"22",23,"Hyundai i20 1.2 Magna","Kolkata",2010,45807,"Petrol","Manual","First",18.5,1197,80,5,11.665,1.87
"23",24,"Volkswagen Vento Petrol Highline AT","Kolkata",2010,33000,"Petrol","Automatic","First",14.4,1598,103.6,5,11.665,2.85
"24",25,"Honda City Corporate Edition","Mumbai",2012,51920,"Petrol","Manual","First",16.8,1497,116.3,5,11.665,4.25
"25",26,"Nissan Micra Diesel XV","Hyderabad",2012,54000,"Diesel","Manual","First",18.1611502909962,1461,63.1,5,11.665,4.25
"26",27,"Maruti Alto K10 2010-2014 VXI","Hyderabad",2013,54000,"Petrol","Manual","Second",20.92,998,67.1,5,11.665,2.75
"27",28,"Honda WRV i-VTEC VX","Kochi",2018,37430,"Petrol","Manual","First",17.5,1199,88.7,5,10.57,9.9
"28",29,"Toyota Innova 2.5 V Diesel 7-seater","Mumbai",2007,262000,"Diesel","Manual","Fourth & Above",12.8,2494,102,7,11.665,4
"29",30,"Renault Duster 110PS Diesel RxZ Pack","Bangalore",2013,62000,"Diesel","Manual","First",19.01,1461,108.45,5,11.665,7.75
"30",31,"Toyota Corolla Altis G","Delhi",2012,87615,"Petrol","Manual","First",14.53,1798,138.1,5,11.665,6.75
"31",32,"Mahindra Ssangyong Rexton RX7","Bangalore",2013,72000,"Diesel","Automatic","Second",11.18,2696,184,7,11.665,12.5
"32",33,"Audi A6 2.7 TDI","Kolkata",2010,35000,"Diesel","Automatic","First",12.4,2698,179.5,5,11.665,11.5
"33",34,"Volkswagen Vento 1.6 Highline","Coimbatore",2014,55431,"Petrol","Manual","Second",16.09,1598,103.5,5,12.33,6.98
"34",35,"Maruti Wagon R LXI BSIII","Jaipur",2009,83816,"Petrol","Manual","Second",14,1061,64,5,11.665,1.85
"35",36,"Maruti Vitara Brezza ZDi Plus","Kochi",2018,50075,"Diesel","Manual","First",24.3,1248,88.5,5,11.12,8.63
"36",37,"Mahindra KUV 100 mFALCON G80 K6 5str AW","Delhi",2017,52000,"Petrol","Manual","First",18.15,1198,82,5,11.665,4.85
"37",38,"Mercedes-Benz M-Class ML 350 CDI","Pune",2013,85000,"Diesel","Automatic","First",11.74,2987,254.8,5,11.665,28
"38",39,"Volkswagen Polo Diesel Trendline 1.2L","Chennai",2013,62000,"Diesel","Manual","First",22.07,1199,73.9,5,11.665,5
"39",40,"Maruti Alto LXi","Delhi",2008,90000,"Petrol","Manual","Second",19.7,796,46.3,5,11.665,1.25
"40",41,"Tata Nano LX SE","Kochi",2014,19698,"Petrol","Manual","First",25.4,624,37.5,4,11.665,1.53
"41",42,"Mahindra KUV 100 mFALCON D75 K8 Dual Tone","Coimbatore",2017,22033,"Diesel","Manual","First",25.32,1198,77,6,11.665,5.58
"42",43,"Hyundai i20 Magna Optional 1.2","Kochi",2014,35487,"Petrol","Manual","First",18.5,1197,82.9,5,11.665,4.74
"43",44,"Hyundai Elantra 2.0 SX Option AT","Bangalore",2014,46374,"Petrol","Automatic","First",14.62,1999,149.92,5,23.64,8.85
"44",45,"Toyota Corolla Altis G AT","Mumbai",2016,52001,"Petrol","Automatic","First",14.28,1798,138.03,5,11.665,10.11
"45",46,"Hyundai Elantra CRDi","Ahmedabad",2008,58005,"Diesel","Manual","Second",14.9,1991,112.2,5,11.665,4.25
"46",47,"Toyota Innova Crysta 2.7 GX MT","Bangalore",2012,70704,"Petrol","Manual","First",11.25,2694,163.7,7,18.64,10.95
"47",48,"Hyundai Xcent 1.1 CRDi S","Jaipur",2014,75000,"Diesel","Manual","First",24.4,1120,71,5,11.665,3.85
"48",49,"Mahindra Thar CRDe AC","Jaipur",2012,75800,"Diesel","Manual","Second",16.55,2498,105,6,11.665,5.5
"49",50,"Audi A4 2.0 TDI 177 Bhp Premium Plus","Kochi",2015,13648,"Diesel","Automatic","First",17.11,1968,174.33,5,11.665,21.43
"50",51,"Maruti Swift LDI","Delhi",2014,52000,"Diesel","Manual","First",22.9,1248,74,5,11.665,4.25
"51",52,"Maruti Swift Ldi BSIV","Kolkata",2014,53000,"Diesel","Manual","First",17.8,1248,75,5,11.665,3.3
"52",53,"Maruti Swift VDI","Delhi",2013,65650,"Diesel","Manual","First",28.4,1248,74,5,11.665,3.85
"53",54,"Hyundai Grand i10 Sportz","Chennai",2015,54000,"Petrol","Manual","Third",18.9,1197,82,5,11.665,3.6
"54",55,"Volkswagen Vento 2013-2015 1.6 Comfortline","Kolkata",2015,39000,"Petrol","Manual","First",15.04,1598,103.2,5,11.665,3.99
"55",56,"Renault KWID RXT","Kochi",2017,16542,"Petrol","Manual","First",25.17,799,53.3,5,11.665,3.3
"56",57,"Hyundai i10 Asta","Kolkata",2010,32000,"Petrol","Manual","First",20.36,1197,78.9,5,11.665,2.07
"57",58,"Nissan X-Trail SLX AT","Hyderabad",2010,121812,"Diesel","Automatic","First",18.1611502909962,1995,147.6,5,11.665,7.75
"58",59,"Maruti Zen Estilo VXI BSIII","Hyderabad",2010,39300,"Petrol","Manual","First",18.2,998,67.1,5,11.665,2.25
"59",60,"Toyota Innova Crysta 2.4 GX MT 8S","Mumbai",2017,22000,"Diesel","Manual","First",13.68,2393,147.8,8,19.34,16.5
"60",61,"Ford Figo Diesel Titanium","Bangalore",2010,72000,"Diesel","Manual","First",20,1399,68,5,11.665,2.75
"61",62,"Mercedes-Benz New C-Class C 200 CGI Avantgarde","Delhi",2015,58000,"Petrol","Automatic","First",11.74,1796,186,5,11.665,26.7
"62",63,"Mercedes-Benz New C-Class 200 CDI Classic","Pune",2011,65000,"Diesel","Manual","Second",15.8,2148,170,5,11.665,10
"63",64,"Tata Indica V2 eLS","Chennai",2016,178000,"Diesel","Manual","First",25,1396,69,5,11.665,2.5
"64",65,"Audi A4 2.0 TDI Multitronic","Jaipur",2012,65664,"Diesel","Automatic","First",16.55,1968,140,5,11.665,13.5
"65",66,"Honda City ZX CVT","Mumbai",2007,63000,"Petrol","Automatic","Second",16.4,1497,78,5,11.665,1.85
"66",67,"Mercedes-Benz C-Class Progressive C 220d","Coimbatore",2019,15369,"Diesel","Automatic","First",0,1950,194,5,49.14,35.67
"67",68,"Maruti Ertiga SHVS VDI","Pune",2016,63000,"Diesel","Manual","First",24.52,1248,88.5,7,11.665,8.15
"68",69,"Hyundai Creta 1.4 E Plus Diesel","Mumbai",2018,13000,"Diesel","Manual","First",22.1,1396,88.7,5,11.81,10.5
"69",70,"Porsche Cayenne 2009-2014 Turbo","Mumbai",2008,73000,"Petrol","Automatic","First",8.5,4806,500,5,11.665,14.5
"70",71,"Mahindra XUV500 W8 4WD","Mumbai",2015,55729,"Diesel","Manual","First",15.1,2179,140,7,11.665,9.65
"71",72,"Hyundai i10 Sportz 1.2 AT","Kochi",2012,45178,"Petrol","Automatic","First",16.95,1197,78.9,5,11.665,3.48
"72",73,"Nissan Terrano XV D Pre","Kochi",2015,56066,"Diesel","Manual","First",19.64,1461,108.5,5,16.65,6.92
"73",74,"Honda Brio VX AT","Coimbatore",2016,37300,"Petrol","Automatic","Second",16.5,1198,86.8,5,11.665,6.46
"74",75,"Audi A6 2.0 TDI Design Edition","Delhi",2014,56000,"Diesel","Automatic","Second",18.53,1968,187.74,5,11.665,29.5
"75",77,"Toyota Innova 2.0 G1","Chennai",2006,230000,"Petrol","Manual","Third",12.4,1998,132,8,11.665,4.5
"76",78,"Toyota Innova 2.5 VX 7 STR BSIV","Hyderabad",2012,104000,"Diesel","Manual","First",12.8,2494,102,7,11.665,11.75
"77",80,"Maruti Swift VDI","Jaipur",2012,95100,"Diesel","Manual","First",22.9,1248,74,5,11.665,3.75
"78",81,"Tata Zest Revotron 1.2T XE","Pune",2017,70000,"Petrol","Manual","First",17.57,1193,88.7,5,6.67,4.5
"79",82,"Honda Amaze SX i-VTEC","Kochi",2016,54944,"Petrol","Manual","First",18,1198,86.7,5,11.665,4.82
"80",83,"Ford Figo Diesel ZXI","Hyderabad",2012,70337,"Diesel","Manual","First",20,1399,68,5,11.665,2.8
"81",84,"Maruti Ritz VDi","Jaipur",2013,99638,"Diesel","Manual","First",23.2,1248,73.94,5,11.665,3.11
"82",85,"Honda City i VTEC E","Delhi",2009,52000,"Petrol","Manual","First",17.8,1497,117.3,5,11.665,3.25
"83",86,"BMW 5 Series 2003-2012 525d","Delhi",2011,75000,"Diesel","Automatic","Second",16.73,1995,218,5,11.665,13.9
"84",87,"Hyundai i10 Sportz 1.2","Pune",2009,95980,"Petrol","Manual","First",20.36,1197,78.9,5,11.665,2.25
"85",88,"Hyundai Grand i10 Sportz","Bangalore",2016,16000,"Petrol","Manual","First",18.9,1197,82,5,11.665,5.75
"86",90,"Honda Amaze SX i-VTEC","Mumbai",2016,18949,"Petrol","Manual","First",17.8,1198,86.7,5,11.665,5
"87",91,"Toyota Fortuner 4x2 Manual","Delhi",2014,107000,"Diesel","Manual","First",13,2982,168.5,7,11.665,16.5
"88",92,"Audi A6 2011-2015 35 TDI Premium","Coimbatore",2018,48367,"Diesel","Automatic","First",17.68,1968,174.33,5,11.665,39.58
"89",93,"Ford Ecosport 1.5 DV5 MT Titanium Optional","Delhi",2013,57000,"Diesel","Manual","First",22.7,1498,89.84,5,11.665,5.5
"90",94,"Mahindra XUV500 W8 2WD","Delhi",2014,58000,"Diesel","Manual","First",15.1,2179,140,7,11.665,8.1
"91",95,"Honda Amaze SX i-DTEC","Kolkata",2015,30000,"Diesel","Manual","First",25.8,1498,98.6,5,11.665,3.5
"92",96,"Volkswagen Polo Diesel Highline 1.2L","Kolkata",2013,34212,"Diesel","Manual","First",22.07,1199,73.9,5,11.665,2.79
"93",97,"Hyundai Verna Transform SX VGT CRDi","Ahmedabad",2010,70002,"Diesel","Manual","First",16.2,1493,110,5,11.665,3.45
"94",98,"Maruti Wagon R VXI BS IV","Bangalore",2016,62000,"Petrol","Manual","First",18.9,998,67.1,5,11.665,4.45
"95",99,"Volkswagen Polo Petrol Highline 1.6L","Delhi",2010,62001,"Petrol","Manual","First",15.26,1598,103.5,5,11.665,2.65
"96",100,"Hyundai i20 1.4 CRDi Sportz","Pune",2011,78958,"Diesel","Manual","Second",23,1396,90,5,11.665,3.8
"97",101,"Hyundai i20 Asta 1.2","Mumbai",2014,30180,"Petrol","Manual","First",18.5,1197,82.85,5,11.665,4.65
"98",102,"Datsun GO Plus T Petrol","Pune",2017,32851,"Petrol","Manual","First",19.83,1198,67,7,6.45,3.95
"99",103,"Audi A4 3.0 TDI Quattro Premium","Kolkata",2010,30000,"Diesel","Automatic","First",14.94,2967,241.4,5,11.665,9.8
"100",104,"Hyundai i20 2015-2017 Asta","Pune",2009,66000,"Petrol","Manual","Second",17,1197,80,5,11.665,2.7
"101",105,"Maruti Omni 5 Str STD","Coimbatore",2010,93850,"Petrol","Manual","First",14,796,35,5,11.665,2.41
"102",106,"Toyota Etios Liva 1.2 G","Ahmedabad",2014,53000,"Petrol","Manual","First",17.71,1197,78.9,5,6.41,3.9
"103",107,"Jaguar XF 3.0 Litre S Premium Luxury","Hyderabad",2011,78000,"Diesel","Automatic","Second",14.74,2993,270.9,5,11.665,24
"104",108,"Mahindra XUV500 W8 2WD","Delhi",2012,65000,"Diesel","Manual","Second",16,2179,140,7,11.665,5.75
"105",109,"Hyundai Verna 1.6 SX CRDI (O) AT","Kolkata",2014,40000,"Diesel","Automatic","First",22.32,1582,126.32,5,11.665,5.25
"106",110,"Toyota Innova Crysta 2.8 ZX AT","Mumbai",2017,30000,"Diesel","Automatic","First",11.36,2755,171.5,7,27,19.25
"107",111,"Maruti Eeco 5 Seater AC","Coimbatore",2017,38053,"Petrol","Manual","First",15.1,1196,73,5,5.13,3.91
"108",112,"Tata Nano Twist XT","Bangalore",2014,25500,"Petrol","Manual","First",25.4,624,37.5,4,11.665,2.15
"109",113,"BMW 3 Series 320d Luxury Line","Mumbai",2015,56087,"Diesel","Automatic","First",22.69,1995,190,5,54.43,20.75
"110",114,"Honda Civic 2006-2010 1.8 V MT","Delhi",2010,71088,"Petrol","Manual","First",13.5,1799,130,5,11.665,3.35
"111",115,"Toyota Innova 2.5 VX (Diesel) 7 Seater","Ahmedabad",2014,55000,"Diesel","Manual","First",12.99,2494,100.6,7,11.665,11.11
"112",116,"Volvo V40 Cross Country D3","Bangalore",2014,32700,"Diesel","Automatic","First",23.3,1984,150,5,11.665,20
"113",117,"Nissan Micra XV CVT","Coimbatore",2016,39882,"Petrol","Automatic","First",19.15,1198,75.94,5,9.51,6.55
"114",118,"BMW 5 Series 2010-2013 525i","Mumbai",2009,128000,"Petrol","Automatic","First",10.8,2497,215,5,11.665,7
"115",119,"Maruti Vitara Brezza VDi","Mumbai",2016,55000,"Diesel","Manual","First",24.3,1248,88.5,5,9.96,7.5
"116",121,"Mercedes-Benz B Class B200 CDI","Pune",2014,53753,"Diesel","Automatic","Second",15,2143,107.3,5,11.665,16.75
"117",122,"Hyundai Verna CRDi 1.6 SX Option","Kolkata",2018,10250,"Diesel","Manual","First",22,1582,126.2,5,14.44,10.95
"118",123,"Maruti Wagon R LXI BS IV","Pune",2011,43874,"Petrol","Manual","First",18.9,998,67.1,5,11.665,2.45
"119",124,"Tata Nano XTA","Coimbatore",2017,32684,"Petrol","Automatic","First",21.9,624,37.48,4,11.665,3.23
"120",125,"Mahindra Scorpio VLX","Kolkata",2014,42000,"Diesel","Manual","First",12.05,2179,120,8,11.665,7.75
"121",126,"Mercedes-Benz New C-Class 200 K AT","Kolkata",2009,28352,"Petrol","Automatic","First",11.7,1796,178,5,11.665,9.35
"122",128,"Honda CR-V 2.4 MT","Bangalore",2007,47700,"Petrol","Manual","Second",10.8,2354,152,5,11.665,5.25
"123",129,"Volkswagen Vento 1.5 TDI Comfortline AT","Pune",2015,55000,"Diesel","Automatic","First",21.21,1498,103.2,5,11.665,7.25
"124",130,"Maruti Ciaz VXi Plus","Kochi",2017,44285,"Petrol","Manual","First",20.73,1373,91.1,5,11.665,7.47
"125",131,"Mahindra XUV500 AT W10 FWD","Jaipur",2016,54000,"Diesel","Automatic","First",16,2179,140,7,11.665,13.25
"126",132,"Maruti Ritz VXI ABS","Coimbatore",2016,30232,"Petrol","Manual","First",21.1,1197,85.8,5,11.665,5.81
"127",133,"Maruti Alto K10 VXI","Hyderabad",2014,88500,"Petrol","Manual","First",24.07,998,67.1,5,4.53,2.6
"128",134,"Mercedes-Benz SLC 43 AMG","Kolkata",2017,13372,"Petrol","Automatic","First",19,2996,362.07,2,95.04,54
"129",135,"Hyundai Verna VTVT 1.6 AT SX Plus","Kochi",2019,12645,"Petrol","Automatic","First",17,1591,121.3,5,13.49,11.5
"130",136,"Maruti Alto LXi BSIII","Chennai",2010,94385,"Petrol","Manual","Second",19.7,796,46.3,5,11.665,1.6
"131",137,"BMW 1 Series 118d Base","Coimbatore",2015,31821,"Diesel","Automatic","First",20.58,1995,143,5,11.665,17.22
"132",138,"Honda Jazz 1.2 V CVT i VTEC","Mumbai",2015,12000,"Petrol","Automatic","First",19,1199,88.7,5,11.665,6
"133",139,"Honda Civic 2006-2010 1.8 V MT","Delhi",2012,88578,"Petrol","Manual","First",13.5,1799,130,5,11.665,3.95
"134",140,"Mercedes-Benz New C-Class C 220 CDI Avantgarde","Kochi",2014,44965,"Diesel","Automatic","First",19.27,2143,170,5,11.665,17.95
"135",141,"Honda Amaze SX i-DTEC","Kolkata",2014,45044,"Diesel","Manual","First",25.8,1498,98.6,5,11.665,3.7
"136",142,"Maruti Swift VVT VXI","Kochi",2016,34204,"Petrol","Manual","First",22,1197,81.8,5,11.665,5.43
"137",144,"Toyota Fortuner 3.0 Diesel","Coimbatore",2012,91235,"Diesel","Manual","First",11.5,2982,171,7,11.665,13.49
"138",145,"Chevrolet Beat LT Option","Pune",2014,38800,"Petrol","Manual","First",18.6,1199,76.8,5,11.665,2.85
"139",146,"Skoda Rapid 1.5 TDI Elegance","Chennai",2013,83000,"Diesel","Manual","First",21.14,1498,103.52,5,11.665,4.75
"140",147,"Maruti Ciaz 1.4 Alpha","Kochi",2018,41283,"Petrol","Manual","First",20.73,1373,91.1,5,11.665,9.9
"141",148,"Audi RS5 Coupe","Mumbai",2013,23000,"Petrol","Automatic","First",11.05,2894,444,4,11.665,37
"142",149,"BMW 3 Series Luxury Line","Mumbai",2014,48000,"Diesel","Automatic","First",21.76,1995,190,5,60.88,26.5
"143",150,"Audi A4 2.0 TDI 177 Bhp Premium Plus","Coimbatore",2015,48214,"Diesel","Automatic","First",17.11,1968,174.33,5,11.665,23.32
"144",151,"Maruti Swift VDI","Chennai",2016,35000,"Diesel","Manual","First",22.9,1248,74,5,11.665,6.25
"145",152,"Mercedes-Benz S Class 2005 2013 S 500","Kolkata",2010,35277,"Petrol","Automatic","First",7.81,5461,362.9,5,11.665,30
"146",153,"Skoda Rapid 1.5 TDI AT Elegance Plus Black Package","Coimbatore",2016,54620,"Diesel","Automatic","First",21.66,1498,103.52,5,11.665,9.86
"147",154,"Skoda Superb Elegance 2.0 TDI CR AT","Pune",2012,136997,"Diesel","Automatic","First",17.2,1968,138.1,5,11.665,8.5
"148",155,"Hyundai EON Magna Plus","Kochi",2019,14322,"Petrol","Manual","First",21.1,814,55.2,5,11.665,4.23
"149",156,"Volkswagen Polo Diesel Trendline 1.2L","Jaipur",2012,65634,"Diesel","Manual","First",22.07,1199,73.9,5,11.665,3.5
"150",157,"Datsun GO NXT","Kolkata",2016,6000,"Petrol","Manual","First",20.63,1198,67.06,5,11.665,2.5
"151",158,"Honda Brio S MT","Kolkata",2013,33280,"Petrol","Manual","First",19.4,1198,86.8,5,11.665,2.39
"152",159,"Mercedes-Benz B Class B180","Delhi",2013,29000,"Petrol","Automatic","First",14.8,1595,120.7,5,11.665,11.25
"153",160,"Honda City i DTEC V","Kochi",2015,42831,"Diesel","Manual","First",26,1498,98.6,5,11.665,7.11
"154",161,"Toyota Innova 2.5 G (Diesel) 7 Seater","Ahmedabad",2016,90000,"Diesel","Manual","First",12.99,2494,100.6,7,11.665,10.9
"155",162,"Maruti Swift VXI Optional","Ahmedabad",2017,24005,"Petrol","Manual","First",20.4,1197,81.8,5,11.665,6.2
"156",163,"Mahindra XUV500 W8 2WD","Mumbai",2012,32792,"Diesel","Manual","First",15.1,2179,140,7,11.665,7.9
"157",164,"Ford Ecosport 1.5 DV5 MT Ambiente","Kochi",2014,147898,"Diesel","Manual","First",22.7,1498,89.84,5,11.665,4.42
"158",165,"Toyota Fortuner 4x2 Manual","Mumbai",2012,131765,"Diesel","Manual","First",13,2982,168.5,7,11.665,13.5
"159",166,"Volkswagen Vento 1.5 Highline Plus AT 16 Alloy","Chennai",2013,65000,"Diesel","Automatic","First",21.5,1498,108.5,5,11.665,6.25
"160",167,"Ford Figo Diesel Titanium","Jaipur",2010,66123,"Diesel","Manual","Second",20,1399,68,5,11.665,2.1
"161",168,"BMW X5 xDrive 30d","Mumbai",2015,41000,"Diesel","Automatic","First",15.3,2993,258,5,11.665,45
"162",169,"Mercedes-Benz New C-Class C 220 CDI Style","Coimbatore",2017,23550,"Diesel","Automatic","First",19.27,2143,167.62,5,11.665,33.66
"163",170,"Honda Brio V MT","Bangalore",2012,45000,"Petrol","Manual","Second",19.4,1198,86.8,5,11.665,3.65
"164",171,"Hyundai i10 Magna 1.2","Delhi",2013,60000,"Petrol","Manual","First",20.36,1197,78.9,5,11.665,2.75
"165",172,"Mercedes-Benz GLC 220","Bangalore",2016,44414,"Diesel","Automatic","First",17.9,2143,170,5,11.665,42.5
"166",173,"Hyundai Grand i10 1.2 Kappa Asta","Kolkata",2019,1000,"Petrol","Manual","First",18.9,1197,81.86,5,7.39,6.5
"167",174,"Audi A6 2011-2015 2.0 TDI Premium Plus","Mumbai",2012,62500,"Diesel","Automatic","Second",17.68,1968,174.33,5,11.665,19
"168",175,"Volkswagen Vento Petrol Highline AT","Mumbai",2013,21000,"Petrol","Automatic","Second",14.4,1598,103.6,5,11.665,4.45
"169",176,"Mini Countryman Cooper D","Jaipur",2017,8525,"Diesel","Automatic","Second",16.6,1998,112,5,11.665,23
"170",177,"Hyundai i20 Asta 1.4 CRDi","Bangalore",2014,29000,"Diesel","Manual","First",22.54,1396,88.73,5,11.665,8.35
"171",178,"Audi A6 2011-2015 2.0 TDI Premium Plus","Mumbai",2014,40000,"Diesel","Automatic","First",17.68,1968,174.33,5,11.665,22.95
"172",179,"Chevrolet Beat Diesel LT","Jaipur",2012,88000,"Diesel","Manual","First",25.44,936,57.6,5,11.665,1.5
"173",180,"Skoda Superb Elegance 1.8 TSI AT","Kochi",2012,53537,"Petrol","Automatic","First",13.7,1798,157.75,5,11.665,6.89
"174",181,"Ford Fiesta 1.4 TDCi EXI Limited Edition","Chennai",2006,216000,"Diesel","Manual","Second",17.8,1399,68,5,11.665,1.45
"175",182,"BMW 5 Series 520d Luxury Line","Hyderabad",2014,51000,"Diesel","Automatic","First",22.48,1995,190,5,69.47,33.5
"176",183,"Chevrolet Optra Magnum 1.6 LS BS3","Jaipur",2007,118500,"Petrol","Manual","First",12.9,1598,102.5,5,11.665,1.25
"177",184,"Volkswagen Polo Diesel Highline 1.2L","Hyderabad",2012,63000,"Diesel","Manual","First",22.07,1199,73.9,5,11.665,4.2
"178",185,"Renault Lodgy 110PS RxZ 8 Seater","Mumbai",2015,25000,"Diesel","Manual","First",19.98,1461,108.5,8,11.665,6.75
"179",186,"Mercedes-Benz E-Class E250 CDI Avantgrade","Bangalore",2014,37382,"Diesel","Automatic","First",13,2143,201.1,5,11.665,32
"180",187,"Maruti Baleno Alpha","Kochi",2017,24773,"Petrol","Manual","First",21.4,1197,83.1,5,8.78,7.5
"181",188,"Hyundai Verna 1.6 SX","Delhi",2012,62000,"Diesel","Manual","First",22.32,1582,126.32,5,11.665,4.6
"182",189,"Hyundai i10 Magna 1.1","Kochi",2017,52340,"Petrol","Manual","First",19.81,1086,68.05,5,11.665,4.04
"183",190,"Mahindra Scorpio 1.99 S10 4WD","Kochi",2016,56739,"Diesel","Manual","First",15.4,1997,120,7,11.665,10.31
"184",191,"Land Rover Range Rover 2.2L Dynamic","Coimbatore",2018,36091,"Diesel","Automatic","First",12.7,2179,187.7,5,11.665,55.76
"185",192,"Ford Figo Diesel ZXI","Chennai",2010,120000,"Diesel","Manual","First",20,1399,68,5,11.665,2.6
"186",193,"Maruti Ertiga ZDI","Mumbai",2016,33000,"Diesel","Manual","First",25.47,1248,88.5,7,12.74,8.5
"187",194,"Honda City 1.5 GXI","Ahmedabad",2007,60006,"Petrol","Manual","First",0,NA,NA,NA,11.665,2.95
"188",195,"Honda Amaze S i-Dtech","Kolkata",2014,52000,"Diesel","Manual","First",25.8,1498,98.6,5,11.665,3.5
"189",196,"Hyundai i10 Magna","Jaipur",2015,43571,"Petrol","Manual","First",20.36,1197,78.9,5,11.665,3.55
"190",197,"Honda Amaze S i-Dtech","Kolkata",2013,50000,"Diesel","Manual","First",25.8,1498,98.6,5,11.665,3.25
"191",198,"Skoda Laura Ambiente","Hyderabad",2008,113000,"Diesel","Manual","First",17.5,1896,106,5,11.665,4.5
"192",199,"Renault Duster 85PS Diesel RxL","Delhi",2014,90000,"Diesel","Manual","First",19.87,1461,83.8,5,11.665,5.35
"193",200,"Mahindra NuvoSport N6","Chennai",2017,29000,"Diesel","Manual","Second",17.45,1493,100,7,10.52,6.5
"194",201,"Maruti Vitara Brezza ZDi Plus Dual Tone","Mumbai",2016,20000,"Diesel","Manual","First",24.3,1248,88.5,5,11.98,9
"195",202,"Hyundai i20 Asta Option 1.2","Kochi",2016,61012,"Petrol","Manual","First",18.6,1197,81.83,5,11.665,6
"196",203,"Skoda Fabia 1.4 MPI Ambiente","Jaipur",2009,87459,"Petrol","Manual","First",14.7,1390,85,5,11.665,2.75
"197",204,"Tata Indigo eCS GLX","Pune",2010,70500,"Petrol","Manual","First",15.64,1193,64.1,5,11.665,1.5
"198",205,"Audi Q3 2012-2015 35 TDI Quattro Premium Plus","Delhi",2015,64103,"Diesel","Automatic","First",15.73,1968,174.33,5,11.665,19.9
"199",206,"Skoda Octavia Elegance 1.8 TSI AT","Mumbai",2014,76000,"Petrol","Automatic","First",14.7,1798,177.5,5,11.665,10
"200",207,"Toyota Etios Liva GD SP","Delhi",2014,104000,"Diesel","Manual","First",23.59,1364,67.06,5,11.665,3
"201",208,"Maruti Swift 1.3 VXi","Kolkata",2010,42001,"Petrol","Manual","First",16.1,NA,NA,NA,11.665,2.11
"202",209,"Mercedes-Benz B Class B180","Kochi",2014,37245,"Petrol","Automatic","First",14.8,1595,120.7,5,11.665,11.96
"203",210,"Honda Amaze S Diesel","Kolkata",2013,45000,"Diesel","Manual","First",27.4,1498,98.6,5,8.54,3.25
