"","X","gender","race.ethnicity","parental.level.of.education","lunch","test.preparation.course","math.score","reading.score","writing.score"
"105",105,"male","group C","some college","standard","completed",98,86,90
"106",106,"female","group C","some college","standard","none",58,67,72
"107",107,"female","group D","master's degree","standard","none",87,100,100
"108",108,"male","group E","associate's degree","standard","completed",66,63,64
"109",109,"female","group B","associate's degree","free/reduced","none",52,76,70
"110",110,"female","group B","some high school","standard","none",70,64,72
"111",111,"female","group D","associate's degree","free/reduced","completed",77,89,98
"112",112,"male","group C","high school","standard","none",62,55,49
"113",113,"male","group A","associate's degree","standard","none",54,53,47
"114",114,"female","group D","some college","standard","none",51,58,54
"115",115,"female","group E","bachelor's degree","standard","completed",99,100,100
"116",116,"male","group C","high school","standard","none",84,77,74
"117",117,"female","group B","bachelor's degree","free/reduced","none",75,85,82
"118",118,"female","group D","bachelor's degree","standard","none",78,82,79
"119",119,"female","group D","some high school","standard","none",51,63,61
"120",120,"female","group C","some college","standard","none",55,69,65
"121",121,"female","group C","bachelor's degree","standard","completed",79,92,89
"122",122,"male","group B","associate's degree","standard","completed",91,89,92
"123",123,"female","group C","some college","standard","completed",88,93,93
"124",124,"male","group D","high school","free/reduced","none",63,57,56
"125",125,"male","group E","some college","standard","none",83,80,73
"126",126,"female","group B","high school","standard","none",87,95,86
"127",127,"male","group B","some high school","standard","none",72,68,67
"128",128,"male","group D","some college","standard","completed",65,77,74
"129",129,"male","group D","master's degree","standard","none",82,82,74
"130",130,"female","group A","bachelor's degree","standard","none",51,49,51
"131",131,"male","group D","master's degree","standard","none",89,84,82
"132",132,"male","group C","some high school","free/reduced","completed",53,37,40
"133",133,"male","group E","some college","free/reduced","completed",87,74,70
"134",134,"female","group C","some college","standard","completed",75,81,84
"135",135,"male","group D","bachelor's degree","free/reduced","completed",74,79,75
"136",136,"male","group C","bachelor's degree","standard","none",58,55,48
"137",137,"male","group B","some high school","standard","completed",51,54,41
"138",138,"male","group E","high school","standard","none",70,55,56
"139",139,"female","group C","associate's degree","standard","none",59,66,67
"140",140,"male","group D","some college","standard","completed",71,61,69
"141",141,"female","group D","some high school","standard","none",76,72,71
"142",142,"female","group C","some college","free/reduced","none",59,62,64
"143",143,"female","group E","some college","free/reduced","completed",42,55,54
"144",144,"male","group A","high school","standard","none",57,43,47
"145",145,"male","group D","some college","standard","none",88,73,78
"146",146,"female","group C","some college","free/reduced","none",22,39,33
"147",147,"male","group B","some high school","standard","none",88,84,75
"148",148,"male","group C","associate's degree","free/reduced","none",73,68,66
"149",149,"female","group D","bachelor's degree","standard","completed",68,75,81
"150",150,"male","group E","associate's degree","free/reduced","completed",100,100,93
"151",151,"male","group A","some high school","standard","completed",62,67,69
"152",152,"male","group A","bachelor's degree","standard","none",77,67,68
"153",153,"female","group B","associate's degree","standard","completed",59,70,66
"154",154,"male","group D","bachelor's degree","standard","none",54,49,47
"155",155,"male","group D","some high school","standard","none",62,67,61
"156",156,"female","group C","some college","standard","completed",70,89,88
"157",157,"female","group E","high school","free/reduced","completed",66,74,78
"158",158,"male","group B","some college","free/reduced","none",60,60,60
"159",159,"female","group B","associate's degree","standard","completed",61,86,87
"160",160,"male","group D","associate's degree","free/reduced","none",66,62,64
"161",161,"male","group B","associate's degree","free/reduced","completed",82,78,74
"162",162,"female","group E","some college","free/reduced","completed",75,88,85
"163",163,"male","group B","master's degree","free/reduced","none",49,53,52
"164",164,"male","group C","high school","standard","none",52,53,49
"165",165,"female","group E","master's degree","standard","none",81,92,91
"166",166,"female","group C","bachelor's degree","standard","completed",96,100,100
"167",167,"male","group C","high school","free/reduced","completed",53,51,51
"168",168,"female","group B","master's degree","free/reduced","completed",58,76,78
"169",169,"female","group B","high school","standard","completed",68,83,78
"170",170,"female","group C","some college","free/reduced","completed",67,75,70
"171",171,"male","group A","high school","standard","completed",72,73,74
"172",172,"male","group E","some high school","standard","none",94,88,78
"173",173,"female","group D","some college","standard","none",79,86,81
"174",174,"female","group C","associate's degree","standard","none",63,67,70
"175",175,"female","group C","bachelor's degree","free/reduced","completed",43,51,54
"176",176,"female","group C","master's degree","standard","completed",81,91,87
"177",177,"female","group B","high school","free/reduced","completed",46,54,58
"178",178,"female","group C","associate's degree","standard","completed",71,77,77
"179",179,"female","group B","master's degree","free/reduced","completed",52,70,62
"180",180,"female","group D","some high school","standard","completed",97,100,100
"181",181,"male","group C","master's degree","free/reduced","completed",62,68,75
"182",182,"female","group C","some college","free/reduced","none",46,64,66
"183",183,"female","group E","high school","standard","none",50,50,47
"184",184,"female","group D","associate's degree","standard","none",65,69,70
"185",185,"male","group C","some high school","free/reduced","completed",45,52,49
"186",186,"male","group C","associate's degree","free/reduced","completed",65,67,65
"187",187,"male","group E","high school","standard","none",80,76,65
"188",188,"male","group D","some high school","standard","completed",62,66,68
"189",189,"male","group B","some high school","free/reduced","none",48,52,45
"190",190,"female","group C","bachelor's degree","standard","none",77,88,87
"191",191,"female","group E","associate's degree","standard","none",66,65,69
"192",192,"male","group D","some college","standard","completed",76,83,79
"193",193,"female","group B","some high school","standard","none",62,64,66
"194",194,"male","group D","some college","standard","completed",77,62,62
"195",195,"female","group C","master's degree","standard","completed",69,84,85
"196",196,"male","group D","associate's degree","standard","none",61,55,52
"197",197,"male","group C","some high school","free/reduced","completed",59,69,65
"198",198,"male","group E","high school","free/reduced","none",55,56,51
"199",199,"female","group B","some college","free/reduced","none",45,53,55
"200",200,"female","group B","bachelor's degree","free/reduced","none",78,79,76
"201",201,"female","group C","associate's degree","standard","completed",67,84,86
"202",202,"female","group D","some college","free/reduced","none",65,81,77
"203",203,"male","group C","associate's degree","standard","none",69,77,69
"204",204,"female","group B","associate's degree","standard","none",57,69,68
"205",205,"male","group C","some college","standard","none",59,41,42
"206",206,"male","group D","some high school","standard","completed",74,71,78
"207",207,"male","group E","bachelor's degree","standard","none",82,62,62
"208",208,"male","group E","high school","standard","completed",81,80,76
"209",209,"female","group B","some college","free/reduced","none",74,81,76
"210",210,"female","group B","some college","free/reduced","none",58,61,66
"211",211,"male","group D","some high school","free/reduced","completed",80,79,79
"212",212,"male","group C","some college","free/reduced","none",35,28,27
"213",213,"female","group C","high school","free/reduced","none",42,62,60
"214",214,"male","group C","associate's degree","free/reduced","completed",60,51,56
"215",215,"male","group E","high school","standard","completed",87,91,81
"216",216,"male","group B","some high school","standard","completed",84,83,75
"217",217,"female","group E","associate's degree","free/reduced","completed",83,86,88
"218",218,"female","group C","high school","free/reduced","none",34,42,39
"219",219,"male","group B","high school","free/reduced","none",66,77,70
"220",220,"male","group B","some high school","standard","completed",61,56,56
"221",221,"female","group D","high school","standard","completed",56,68,74
"222",222,"male","group B","associate's degree","standard","none",87,85,73
"223",223,"female","group C","some high school","free/reduced","none",55,65,62
"224",224,"male","group D","some high school","standard","none",86,80,75
"225",225,"female","group B","associate's degree","standard","completed",52,66,73
"226",226,"female","group E","master's degree","free/reduced","none",45,56,54
"227",227,"female","group C","some college","standard","none",72,72,71
"228",228,"male","group D","high school","standard","none",57,50,54
"229",229,"male","group A","some high school","free/reduced","none",68,72,64
"230",230,"female","group C","some college","standard","completed",88,95,94
"231",231,"male","group D","some college","standard","none",76,64,66
"232",232,"male","group C","associate's degree","standard","none",46,43,42
"233",233,"female","group B","bachelor's degree","standard","none",67,86,83
"234",234,"male","group E","some high school","standard","none",92,87,78
"235",235,"male","group C","bachelor's degree","standard","completed",83,82,84
"236",236,"male","group D","associate's degree","standard","none",80,75,77
"237",237,"male","group D","bachelor's degree","free/reduced","none",63,66,67
"238",238,"female","group D","some high school","standard","completed",64,60,74
"239",239,"male","group B","some college","standard","none",54,52,51
"240",240,"male","group C","associate's degree","standard","none",84,80,80
"241",241,"male","group D","high school","free/reduced","completed",73,68,66
"242",242,"female","group E","bachelor's degree","standard","none",80,83,83
"243",243,"female","group D","high school","standard","none",56,52,55
"244",244,"male","group E","some college","standard","none",59,51,43
"245",245,"male","group D","some high school","standard","none",75,74,69
"246",246,"male","group C","associate's degree","standard","none",85,76,71
"247",247,"male","group E","associate's degree","standard","none",89,76,74
"248",248,"female","group B","high school","standard","completed",58,70,68
"249",249,"female","group B","high school","standard","none",65,64,62
"250",250,"male","group C","high school","standard","none",68,60,53
"251",251,"male","group A","some high school","standard","completed",47,49,49
"252",252,"female","group D","some college","free/reduced","none",71,83,83
"253",253,"female","group B","some high school","standard","completed",60,70,70
"254",254,"male","group D","master's degree","standard","none",80,80,72
"255",255,"male","group D","high school","standard","none",54,52,52
"256",256,"female","group E","some college","standard","none",62,73,70
"257",257,"female","group C","associate's degree","free/reduced","none",64,73,68
"258",258,"male","group C","associate's degree","standard","completed",78,77,77
"259",259,"female","group B","some college","standard","none",70,75,78
"260",260,"female","group C","master's degree","free/reduced","completed",65,81,81
"261",261,"female","group C","some high school","free/reduced","completed",64,79,77
"262",262,"male","group C","some college","standard","completed",79,79,78
"263",263,"female","group C","some high school","free/reduced","none",44,50,51
"264",264,"female","group E","high school","standard","none",99,93,90
"265",265,"male","group D","high school","standard","none",76,73,68
"266",266,"male","group D","some high school","free/reduced","none",59,42,41
"267",267,"female","group C","bachelor's degree","standard","none",63,75,81
"268",268,"female","group D","high school","standard","none",69,72,77
"269",269,"female","group D","associate's degree","standard","completed",88,92,95
"270",270,"female","group E","some college","free/reduced","none",71,76,70
"271",271,"male","group C","bachelor's degree","standard","none",69,63,61
"272",272,"male","group C","some college","standard","none",58,49,42
"273",273,"female","group D","associate's degree","free/reduced","none",47,53,58
"274",274,"female","group D","some college","standard","none",65,70,71
"275",275,"male","group B","some college","standard","completed",88,85,76
"276",276,"male","group C","bachelor's degree","standard","none",83,78,73
"277",277,"female","group C","some high school","standard","completed",85,92,93
"278",278,"female","group E","high school","standard","completed",59,63,75
"279",279,"female","group C","some high school","free/reduced","none",65,86,80
"280",280,"male","group B","bachelor's degree","free/reduced","none",73,56,57
"281",281,"male","group D","high school","standard","none",53,52,42
"282",282,"male","group D","high school","standard","none",45,48,46
"283",283,"female","group D","bachelor's degree","free/reduced","none",73,79,84
"284",284,"female","group D","some college","free/reduced","completed",70,78,78
"285",285,"female","group B","some high school","standard","none",37,46,46
"286",286,"male","group B","associate's degree","standard","completed",81,82,82
"287",287,"male","group E","associate's degree","standard","completed",97,82,88
"288",288,"female","group B","some high school","standard","none",67,89,82
"289",289,"male","group B","bachelor's degree","free/reduced","none",88,75,76
"290",290,"male","group E","some high school","standard","completed",77,76,77
"291",291,"male","group C","associate's degree","standard","none",76,70,68
"292",292,"male","group D","some high school","standard","none",86,73,70
"293",293,"male","group C","some high school","standard","completed",63,60,57
"294",294,"female","group E","bachelor's degree","standard","none",65,73,75
"295",295,"male","group D","high school","free/reduced","completed",78,77,80
"296",296,"male","group B","associate's degree","free/reduced","none",67,62,60
"297",297,"male","group A","some high school","standard","completed",46,41,43
"298",298,"male","group E","associate's degree","standard","completed",71,74,68
"299",299,"male","group C","high school","free/reduced","completed",40,46,50
"300",300,"male","group D","associate's degree","free/reduced","none",90,87,75
"301",301,"male","group A","some college","free/reduced","completed",81,78,81
"302",302,"male","group D","some high school","free/reduced","none",56,54,52
"303",303,"female","group C","associate's degree","standard","completed",67,84,81
"304",304,"male","group B","associate's degree","standard","none",80,76,64
"305",305,"female","group C","associate's degree","standard","completed",74,75,83
"306",306,"male","group A","some college","standard","none",69,67,69
"307",307,"male","group E","some college","standard","completed",99,87,81
"308",308,"male","group C","some high school","standard","none",51,52,44
"309",309,"female","group B","associate's degree","free/reduced","none",53,71,67
"310",310,"female","group D","high school","free/reduced","none",49,57,52
"311",311,"female","group B","associate's degree","standard","none",73,76,80
"312",312,"male","group B","bachelor's degree","standard","none",66,60,57
"313",313,"male","group D","bachelor's degree","standard","completed",67,61,68
"314",314,"female","group C","associate's degree","free/reduced","completed",68,67,69
"315",315,"female","group C","bachelor's degree","standard","completed",59,64,75
"316",316,"male","group C","high school","standard","none",71,66,65
"317",317,"female","group D","master's degree","standard","completed",77,82,91
"318",318,"male","group C","associate's degree","standard","none",83,72,78
"319",319,"male","group B","bachelor's degree","standard","none",63,71,69
"320",320,"female","group D","associate's degree","free/reduced","none",56,65,63
"321",321,"female","group C","high school","free/reduced","completed",67,79,84
"322",322,"female","group E","high school","standard","none",75,86,79
"323",323,"female","group C","some college","standard","none",71,81,80
"324",324,"female","group C","some high school","free/reduced","none",43,53,53
"325",325,"female","group C","high school","free/reduced","none",41,46,43
"326",326,"female","group C","some college","standard","none",82,90,94
"327",327,"male","group C","some college","standard","none",61,61,62
"328",328,"male","group A","some college","free/reduced","none",28,23,19
"329",329,"male","group C","associate's degree","standard","completed",82,75,77
"330",330,"female","group B","some high school","standard","none",41,55,51
"331",331,"male","group C","high school","standard","none",71,60,61
"332",332,"male","group C","associate's degree","standard","none",47,37,35
"333",333,"male","group E","associate's degree","standard","completed",62,56,53
"334",334,"male","group B","associate's degree","standard","none",90,78,81
"335",335,"female","group C","bachelor's degree","standard","none",83,93,95
"336",336,"female","group B","some college","free/reduced","none",61,68,66
"337",337,"male","group D","some high school","standard","completed",76,70,69
"338",338,"male","group C","associate's degree","standard","none",49,51,43
"339",339,"female","group B","some high school","free/reduced","none",24,38,27
"340",340,"female","group D","some high school","free/reduced","completed",35,55,60
"341",341,"male","group C","high school","free/reduced","none",58,61,52
"342",342,"female","group C","high school","standard","none",61,73,63
"343",343,"female","group B","high school","standard","completed",69,76,74
"344",344,"male","group D","associate's degree","standard","completed",67,72,67
"345",345,"male","group D","some college","standard","none",79,73,67
"346",346,"female","group C","high school","standard","none",72,80,75
"347",347,"male","group B","some college","standard","none",62,61,57
"348",348,"female","group C","bachelor's degree","standard","completed",77,94,95
"349",349,"male","group D","high school","free/reduced","none",75,74,66
"350",350,"male","group E","associate's degree","standard","none",87,74,76
"351",351,"female","group B","bachelor's degree","standard","none",52,65,69
"352",352,"male","group E","some college","standard","none",66,57,52
"353",353,"female","group C","some college","standard","completed",63,78,80
"354",354,"female","group C","associate's degree","standard","none",46,58,57
"355",355,"female","group C","some college","standard","none",59,71,70
"356",356,"female","group B","bachelor's degree","standard","none",61,72,70
"357",357,"male","group A","associate's degree","standard","none",63,61,61
"358",358,"female","group C","some college","free/reduced","completed",42,66,69
"359",359,"male","group D","some college","free/reduced","none",59,62,61
"360",360,"female","group D","some college","standard","none",80,90,89
"361",361,"female","group B","high school","standard","none",58,62,59
"362",362,"male","group B","some high school","standard","completed",85,84,78
"363",363,"female","group C","some college","standard","none",52,58,58
"364",364,"female","group D","some high school","free/reduced","none",27,34,32
"365",365,"male","group C","some college","standard","none",59,60,58
"366",366,"male","group A","bachelor's degree","free/reduced","completed",49,58,60
"367",367,"male","group C","high school","standard","completed",69,58,53
"368",368,"male","group C","bachelor's degree","free/reduced","none",61,66,61
"369",369,"female","group A","some high school","free/reduced","none",44,64,58
"370",370,"female","group D","some high school","standard","none",73,84,85
"371",371,"male","group E","some college","standard","none",84,77,71
"372",372,"female","group C","some college","free/reduced","completed",45,73,70
"373",373,"male","group D","some high school","standard","none",74,74,72
"374",374,"female","group D","some college","standard","completed",82,97,96
"375",375,"female","group D","bachelor's degree","standard","none",59,70,73
"376",376,"male","group E","associate's degree","free/reduced","none",46,43,41
"377",377,"female","group D","some high school","standard","none",80,90,82
"378",378,"female","group D","master's degree","free/reduced","completed",85,95,100
"379",379,"female","group A","some high school","standard","none",71,83,77
"380",380,"male","group A","bachelor's degree","standard","none",66,64,62
"381",381,"female","group B","associate's degree","standard","none",80,86,83
"382",382,"male","group C","associate's degree","standard","completed",87,100,95
"383",383,"male","group C","master's degree","free/reduced","none",79,81,71
"384",384,"female","group E","some high school","free/reduced","none",38,49,45
"385",385,"female","group A","some high school","free/reduced","none",38,43,43
"386",386,"female","group E","some college","standard","none",67,76,75
"387",387,"female","group E","bachelor's degree","standard","none",64,73,70
"388",388,"female","group C","associate's degree","free/reduced","none",57,78,67
"389",389,"female","group D","high school","standard","none",62,64,64
"390",390,"male","group D","master's degree","standard","none",73,70,75
"391",391,"male","group E","some high school","free/reduced","completed",73,67,59
"392",392,"female","group D","some college","standard","none",77,68,77
"393",393,"male","group E","some college","standard","none",76,67,67
"394",394,"male","group C","associate's degree","standard","completed",57,54,56
"395",395,"female","group C","some high school","standard","completed",65,74,77
"396",396,"male","group A","high school","free/reduced","none",48,45,41
"397",397,"female","group B","high school","free/reduced","none",50,67,63
"398",398,"female","group C","associate's degree","standard","none",85,89,95
"399",399,"male","group B","some high school","standard","none",74,63,57
"400",400,"male","group D","some high school","standard","none",60,59,54
"401",401,"female","group C","some high school","standard","completed",59,54,67
"402",402,"male","group A","some college","standard","none",53,43,43
"403",403,"female","group A","some college","free/reduced","none",49,65,55
"404",404,"female","group D","high school","standard","completed",88,99,100
"405",405,"female","group C","high school","standard","none",54,59,62
"406",406,"female","group C","some high school","standard","none",63,73,68
"407",407,"male","group B","associate's degree","standard","completed",65,65,63
"408",408,"female","group B","associate's degree","standard","none",82,80,77
"409",409,"female","group D","high school","free/reduced","completed",52,57,56
"410",410,"male","group D","associate's degree","standard","completed",87,84,85
"411",411,"female","group D","master's degree","standard","completed",70,71,74
"412",412,"male","group E","some college","standard","completed",84,83,78
"413",413,"male","group D","associate's degree","standard","none",71,66,60
"414",414,"male","group B","some high school","standard","completed",63,67,67
"415",415,"female","group C","bachelor's degree","free/reduced","completed",51,72,79
"416",416,"male","group E","high school","standard","none",84,73,69
"417",417,"male","group C","bachelor's degree","standard","completed",71,74,68
"418",418,"male","group C","associate's degree","standard","none",74,73,67
"419",419,"male","group D","some college","standard","none",68,59,62
"420",420,"male","group E","high school","free/reduced","completed",57,56,54
"421",421,"female","group C","associate's degree","free/reduced","completed",82,93,93
"422",422,"female","group D","high school","standard","completed",57,58,64
"423",423,"female","group D","master's degree","free/reduced","completed",47,58,67
"424",424,"female","group A","some high school","standard","completed",59,85,80
"425",425,"male","group B","some college","free/reduced","none",41,39,34
"426",426,"female","group C","some college","free/reduced","none",62,67,62
"427",427,"male","group C","bachelor's degree","standard","none",86,83,86
"428",428,"male","group C","some high school","free/reduced","none",69,71,65
"429",429,"male","group A","some high school","free/reduced","none",65,59,53
"430",430,"male","group C","some high school","free/reduced","none",68,63,54
"431",431,"male","group C","associate's degree","free/reduced","none",64,66,59
"432",432,"female","group C","high school","standard","none",61,72,70
"433",433,"male","group C","high school","standard","none",61,56,55
"434",434,"female","group A","some high school","free/reduced","none",47,59,50
"435",435,"male","group C","some high school","standard","none",73,66,66
"436",436,"male","group C","some college","free/reduced","completed",50,48,53
"437",437,"male","group D","associate's degree","standard","none",75,68,64
"438",438,"male","group D","associate's degree","free/reduced","none",75,66,73
"439",439,"male","group C","high school","standard","none",70,56,51
"440",440,"male","group D","some high school","standard","completed",89,88,82
"441",441,"female","group C","some college","standard","completed",67,81,79
"442",442,"female","group D","high school","standard","none",78,81,80
"443",443,"female","group A","some high school","free/reduced","none",59,73,69
"444",444,"female","group B","associate's degree","standard","none",73,83,76
"445",445,"male","group A","some high school","free/reduced","none",79,82,73
"446",446,"female","group C","some high school","standard","completed",67,74,77
"447",447,"male","group D","some college","free/reduced","none",69,66,60
"448",448,"male","group C","high school","standard","completed",86,81,80
"449",449,"male","group B","high school","standard","none",47,46,42
"450",450,"male","group B","associate's degree","standard","none",81,73,72
"451",451,"female","group C","some college","free/reduced","completed",64,85,85
"452",452,"female","group E","some college","standard","none",100,92,97
"453",453,"female","group C","associate's degree","free/reduced","none",65,77,74
"454",454,"male","group C","some college","free/reduced","none",65,58,49
"455",455,"female","group C","associate's degree","free/reduced","none",53,61,62
"456",456,"male","group C","bachelor's degree","free/reduced","none",37,56,47
"457",457,"female","group D","bachelor's degree","standard","none",79,89,89
"458",458,"male","group D","associate's degree","free/reduced","none",53,54,48
"459",459,"female","group E","bachelor's degree","standard","none",100,100,100
"460",460,"male","group B","high school","standard","completed",72,65,68
"461",461,"male","group C","bachelor's degree","free/reduced","none",53,58,55
"462",462,"male","group B","some college","free/reduced","none",54,54,45
"463",463,"female","group E","some college","standard","none",71,70,76
"464",464,"female","group C","some college","free/reduced","none",77,90,91
"465",465,"male","group A","bachelor's degree","standard","completed",75,58,62
"466",466,"female","group C","some college","standard","none",84,87,91
"467",467,"female","group D","associate's degree","free/reduced","none",26,31,38
"468",468,"male","group A","high school","free/reduced","completed",72,67,65
"469",469,"female","group A","high school","free/reduced","completed",77,88,85
"470",470,"male","group C","some college","standard","none",91,74,76
"471",471,"female","group C","associate's degree","standard","completed",83,85,90
"472",472,"female","group C","high school","standard","none",63,69,74
"473",473,"female","group C","associate's degree","standard","completed",68,86,84
"474",474,"female","group D","some high school","standard","none",59,67,61
"475",475,"female","group B","associate's degree","standard","completed",90,90,91
"476",476,"female","group D","bachelor's degree","standard","completed",71,76,83
"477",477,"male","group E","bachelor's degree","standard","completed",76,62,66
"478",478,"male","group D","associate's degree","standard","none",80,68,72
"479",479,"female","group D","master's degree","standard","none",55,64,70
"480",480,"male","group E","associate's degree","standard","none",76,71,67
"481",481,"male","group B","high school","standard","completed",73,71,68
"482",482,"female","group D","associate's degree","free/reduced","none",52,59,56
"483",483,"male","group C","some college","free/reduced","none",68,68,61
"484",484,"male","group A","high school","standard","none",59,52,46
"485",485,"female","group B","associate's degree","standard","none",49,52,54
"486",486,"male","group C","high school","standard","none",70,74,71
"487",487,"male","group D","some college","free/reduced","none",61,47,56
"488",488,"female","group C","associate's degree","free/reduced","none",60,75,74
"489",489,"male","group B","some high school","standard","completed",64,53,57
"490",490,"male","group A","associate's degree","free/reduced","completed",79,82,82
"491",491,"female","group A","associate's degree","free/reduced","none",65,85,76
"492",492,"female","group C","associate's degree","standard","none",64,64,70
"493",493,"female","group C","some college","standard","none",83,83,90
"494",494,"female","group C","bachelor's degree","standard","none",81,88,90
"495",495,"female","group B","high school","standard","none",54,64,68
"496",496,"male","group D","high school","standard","completed",68,64,66
